resTime,skill_query,query,globalId,code,parameters_msg,results,Text,返回Json
71ms,指尖查词,我要念这个字,1010193971929310208,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971929310208"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
57ms,指尖查词,这个字的读音是什么,1010193971931510224,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971931510224"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
48ms,指尖查词,这个字该怎么念,1010193971932110269,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971932110269"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
206ms,指尖查词,帮我查这个字,1010193971920510145,1000720,"{""intentType"":1,""queryType"":""1""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971920510145"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""1""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
58ms,指尖查词,这个字是什么读音,1010193971931710267,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971931710267"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
65ms,指尖查词,这个字是什么读法,1010193971931410260,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971931410260"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
54ms,指尖查词,这个字读什么,1010193971933410235,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971933410235"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
38ms,指尖查词,我想知道这个字怎么念,1010193971935110247,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971935110247"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
118ms,指尖查词,我想读这个字,1010193971929110243,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971929110243"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
37ms,指尖查词,怎么写这个字,1010193971937710267,1000720,"{""intentType"":1,""queryType"":""3""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971937710267"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""3""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
38ms,指尖查词,怎么写这个字的描红,1010193971938210270,1000720,"{""intentType"":1,""queryType"":""3""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971938210270"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""3""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
48ms,指尖查词,这个字的描红,1010193971937010308,1000720,"{""intentType"":1,""queryType"":""3""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971937010308"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""3""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
70ms,指尖查词,我想知道这个字怎么读,1010193971935010245,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971935010245"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
144ms,指尖查词,我想念这个字,1010193971930110250,100000,null,"[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""学习知识少不了字的。""}}]",学习知识少不了字的。,"{""globalId"":""1010193971930110250"",""intent"":{""code"":100000,""operateState"":1010,""parameters"":null},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""学习知识少不了字的。""}}]}"
134ms,指尖查词,这个字的读法是什么,1010193971931410222,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971931410222"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
155ms,指尖查词,我要读这个字,1010193971929310207,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971929310207"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
127ms,指尖查词,这个字该怎么读,1010193971932010268,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971932010268"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
117ms,指尖查词,这个字念什么,1010193971933310281,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971933310281"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
52ms,指尖查词,我想知道这个字怎么写,1010193971942110287,1000722,"{""intentType"":1,""queryType"":""3""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971942110287"",""intent"":{""code"":1000722,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""3""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
85ms,指尖查词,怎么写这个字的写法,1010193971938810325,1000720,"{""intentType"":1,""queryType"":""3""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971938810325"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""3""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
119ms,指尖查词,这个字怎么写,1010193971935410298,1000722,"{""intentType"":1,""queryType"":""3""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971935410298"",""intent"":{""code"":1000722,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""3""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
48ms,指尖查词,这个字的偏旁是什么,1010193971944810295,1000722,"{""intentType"":1,""queryType"":""4""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971944810295"",""intent"":{""code"":1000722,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""4""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
135ms,指尖查词,这个字的笔画,1010193971936410257,1000720,"{""intentType"":1,""queryType"":""3""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971936410257"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""3""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
111ms,指尖查词,帮我写这个字,1010193971938710324,1000720,"{""intentType"":1,""queryType"":""3""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971938710324"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""3""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
83ms,指尖查词,帮我写这个字的写法,1010193971941610356,1000720,"{""intentType"":1,""queryType"":""3""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971941610356"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""3""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
45ms,指尖查词,这个字的部首是什么,1010193971947510316,1000722,"{""intentType"":1,""queryType"":""5""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971947510316"",""intent"":{""code"":1000722,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""5""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
84ms,指尖查词,这个字咋写,1010193971944510377,1000720,"{""intentType"":1,""queryType"":""3""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971944510377"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""3""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
161ms,指尖查词,这个字的写法,1010193971936910307,1000720,"{""intentType"":1,""queryType"":""3""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971936910307"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""3""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
63ms,指尖查词,这个字是啥偏旁,1010193971947210392,1000720,"{""intentType"":1,""queryType"":""4""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971947210392"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""4""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
161ms,指尖查词,怎么写这个字的笔画,1010193971937510312,1000722,"{""intentType"":1,""queryIntentType"":1,""queryType"":""3"",""result"":[""阿"",""阿"",""啊"",""啊"",""啊""],""text"":""怎么写""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971937510312"",""intent"":{""code"":1000722,""operateState"":1010,""parameters"":{""intentType"":1,""queryIntentType"":1,""queryType"":""3"",""result"":[""阿"",""阿"",""啊"",""啊"",""啊""],""text"":""怎么写""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
70ms,指尖查词,我想知道这个字的偏旁是什么,1010193971947110391,1000720,"{""intentType"":1,""queryType"":""4""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971947110391"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""4""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
108ms,指尖查词,查询这个字的偏旁,1010193971945110298,1000720,"{""intentType"":1,""queryType"":""4""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971945110298"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""4""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
57ms,指尖查词,查询这个字的部首,1010193971950210333,1000720,"{""intentType"":1,""queryType"":""5""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971950210333"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""5""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
145ms,指尖查词,帮我写这个字的笔画,1010193971941110353,1000722,"{""intentType"":1,""queryIntentType"":1,""queryType"":""3"",""result"":[""些"",""写"",""谢"",""蟹"",""解""],""text"":""写""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971941110353"",""intent"":{""code"":1000722,""operateState"":1010,""parameters"":{""intentType"":1,""queryIntentType"":1,""queryType"":""3"",""result"":[""些"",""写"",""谢"",""蟹"",""解""],""text"":""写""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
152ms,指尖查词,帮我写这个字的描红,1010193971941010352,1000722,"{""intentType"":1,""queryIntentType"":1,""queryType"":""3"",""result"":[""些"",""写"",""谢"",""蟹"",""解""],""text"":""写""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971941010352"",""intent"":{""code"":1000722,""operateState"":1010,""parameters"":{""intentType"":1,""queryIntentType"":1,""queryType"":""3"",""result"":[""些"",""写"",""谢"",""蟹"",""解""],""text"":""写""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
38ms,指尖查词,这个字是啥部首,1010193971952910436,1000722,"{""intentType"":1,""queryType"":""5""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971952910436"",""intent"":{""code"":1000722,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""5""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
154ms,指尖查词,这个字该怎么写,1010193971942110285,1000722,"{""intentType"":1,""queryIntentType"":1,""queryType"":""3"",""result"":[""该"",""盖"",""改"",""概"",""溉""],""text"":""该""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971942110285"",""intent"":{""code"":1000722,""operateState"":1010,""parameters"":{""intentType"":1,""queryIntentType"":1,""queryType"":""3"",""result"":[""该"",""盖"",""改"",""概"",""溉""],""text"":""该""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
41ms,指尖查词,这个字的结构是什么,1010193971953510441,1000722,"{""intentType"":1,""queryType"":""6""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971953510441"",""intent"":{""code"":1000722,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""6""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
63ms,指尖查词,帮我查询这个字的部首,1010193971952010430,1000720,"{""intentType"":1,""queryType"":""5""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971952010430"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""5""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
138ms,指尖查词,这个字是什么偏旁,1010193971944910297,1000722,"{""intentType"":1,""queryType"":""4""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971944910297"",""intent"":{""code"":1000722,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""4""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
64ms,指尖查词,这个字是什么结构,1010193971953810359,1000722,"{""intentType"":1,""queryType"":""6""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971953810359"",""intent"":{""code"":1000722,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""6""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
110ms,指尖查词,帮我查这个字的部首,1010193971950210334,1000722,"{""intentType"":1,""queryIntentType"":1,""queryType"":""5"",""result"":[""察"",""差"",""查"",""差"",""诧""],""text"":""查""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971950210334"",""intent"":{""code"":1000722,""operateState"":1010,""parameters"":{""intentType"":1,""queryIntentType"":1,""queryType"":""5"",""result"":[""察"",""差"",""查"",""差"",""诧""],""text"":""查""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
168ms,指尖查词,帮我查询这个字的偏旁,1010193971945410302,1000722,"{""intentType"":1,""queryIntentType"":1,""queryType"":""4"",""result"":[""阿"",""阿"",""啊"",""啊"",""啊""],""text"":""帮我""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971945410302"",""intent"":{""code"":1000722,""operateState"":1010,""parameters"":{""intentType"":1,""queryIntentType"":1,""queryType"":""4"",""result"":[""阿"",""阿"",""啊"",""啊"",""啊""],""text"":""帮我""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
53ms,指尖查词,帮我查这个字是什么结构,1010193971956910473,1000720,"{""intentType"":1,""queryType"":""6""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971956910473"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""6""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
71ms,指尖查词,这个字的结构是啥,1010193971955910377,1000720,"{""intentType"":1,""queryType"":""6""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971955910377"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""6""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
101ms,指尖查词,这个字什么结构组成,1010193971954410365,1000720,"{""intentType"":1,""queryType"":""6""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971954410365"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""6""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
